Source,Target,Type,Id,Label,timeset,Weight
24330759,80641300,Directed,630,,,1
24364207,1024192,Directed,631,,,1
24364207,6023505,Directed,632,,,1
24364207,11629386,Directed,633,,,1
24364207,13400887,Directed,634,,,1
24364207,20476617,Directed,635,,,1
24364207,51088180,Directed,636,,,1
24364207,56876297,Directed,637,,,1
24364207,90541957,Directed,638,,,1
24364207,161359926,Directed,639,,,1
24364207,329769278,Directed,640,,,1
25193879,6093629,Directed,641,,,1
25193879,21789442,Directed,642,,,1
25193879,22939550,Directed,643,,,1
25193879,26702622,Directed,644,,,1
25193879,31398768,Directed,645,,,1
25193879,32996573,Directed,646,,,1
25193879,35413398,Directed,647,,,1
25193879,50646716,Directed,648,,,1
25193879,56879789,Directed,649,,,1
25193879,58448006,Directed,650,,,1
25193879,59400046,Directed,651,,,1
25193879,80047424,Directed,652,,,1
25193879,100679237,Directed,653,,,1
25193879,103603011,Directed,654,,,1
25193879,117240274,Directed,655,,,1
25193879,125476160,Directed,656,,,1
25193879,135638548,Directed,657,,,1
25193879,135832174,Directed,658,,,1
25193879,140724383,Directed,659,,,1
25193879,161359926,Directed,660,,,1
25193879,193297541,Directed,661,,,1
25193879,202962719,Directed,662,,,1
25193879,227448827,Directed,663,,,1
25193879,318637960,Directed,664,,,1
26702622,6093629,Directed,665,,,1
26702622,10456983,Directed,666,,,1
26702622,21789442,Directed,667,,,1
26702622,22939550,Directed,668,,,1
26702622,25193879,Directed,669,,,1
26702622,31398768,Directed,670,,,1
26702622,32996573,Directed,671,,,1
26702622,35413398,Directed,672,,,1
26702622,50646716,Directed,673,,,1
26702622,53679095,Directed,674,,,1
26702622,56879789,Directed,675,,,1
26702622,58448006,Directed,676,,,1
26702622,59400046,Directed,677,,,1
26702622,80047424,Directed,678,,,1
26702622,100679237,Directed,679,,,1
26702622,103603011,Directed,680,,,1
26702622,117240274,Directed,681,,,1
26702622,125476160,Directed,682,,,1
26702622,135638548,Directed,683,,,1
26702622,140724383,Directed,684,,,1
26702622,155317574,Directed,685,,,1
26702622,202962719,Directed,686,,,1
26702622,227448827,Directed,687,,,1
26987778,27535543,Directed,688,,,1
26987778,30868506,Directed,689,,,1
26987778,101425364,Directed,690,,,1
